Timestamp,Pressure_1(Bar),Flow_1(L/min),Temperature_1(C),Pressure_2(Bar),Flow_2(L/min),Temperature_2(C)
2025-08-18T16:36:51.853193,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:51.953324,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:52.053442,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:52.153563,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:52.253643,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:52.353726,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:52.453829,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:52.553939,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:52.654014,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:52.754083,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:52.854155,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:52.954259,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:53.054379,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:53.154494,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:53.254608,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:53.354760,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:53.454913,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:53.555030,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:53.655115,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:53.755239,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:53.855349,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:53.955468,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:54.055585,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:54.155685,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:54.255791,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:54.355892,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:54.456018,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:54.556133,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:54.656236,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:54.756328,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:54.856418,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:54.956542,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:55.056666,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:55.156753,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:55.256840,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:55.356933,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:55.457049,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:55.557160,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:55.657251,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:55.757339,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:55.857437,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:55.957552,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:56.057680,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:56.157796,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:56.257915,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:56.358038,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:56.458189,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:56.558870,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:56.659010,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:56.759140,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:56.859265,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:56.959417,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:57.059546,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:57.159664,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:57.259787,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:57.359912,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:57.460059,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:57.560192,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:57.660333,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:57.760471,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:57.860597,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:57.960749,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:58.060885,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:58.161014,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:58.261141,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:58.361268,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:58.461409,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:58.561553,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:58.661686,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:58.761817,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:58.861929,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:58.962144,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:59.062274,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:59.162397,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:59.262515,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:59.362634,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:59.462791,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:59.562914,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:59.663026,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:59.763138,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:59.863256,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:36:59.963381,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:00.063497,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:00.163601,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:00.263708,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:00.363804,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:00.464201,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:00.564313,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:00.664429,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:00.764544,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:00.864657,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:00.964773,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:01.064887,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:01.164999,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:01.265105,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:01.365246,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:01.465373,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:01.565485,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:01.665580,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:01.765674,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:01.865775,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:01.965931,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:02.066046,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:02.166149,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:02.266235,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:02.366324,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:02.466436,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:02.566547,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:02.666627,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:02.766709,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:02.866750,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:02.966884,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:03.066998,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:03.167101,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:03.267168,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:03.367289,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:03.467458,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:03.567548,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:03.667635,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:03.767756,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:03.867854,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:03.967974,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:04.068095,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:04.168203,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:04.268322,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:04.368446,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:04.468552,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:04.568620,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:04.668702,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:04.768804,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:04.868905,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:04.969031,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:05.069153,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:05.169250,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:05.269349,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:05.369454,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:05.469579,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:05.569714,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:05.669840,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:05.769964,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:05.870077,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:05.970213,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:06.070343,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:06.170460,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:06.270563,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:06.370675,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:06.470814,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:06.570943,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:06.671063,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:06.771172,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:06.871288,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:06.971438,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:07.071567,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:07.171688,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:07.271786,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:07.371877,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:07.472002,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:07.572127,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:07.672232,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:07.772321,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:07.872407,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:07.972530,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:08.072652,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:08.172749,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:08.272846,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:08.372937,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:08.473064,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:08.573189,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:08.673302,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:08.773407,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:08.873497,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:08.973577,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:09.073696,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:09.173794,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:09.273897,0.000,0.00,0.00,0.000,0.00,0.00
2025-08-18T16:37:09.373999,0.000,0.00,0.00,0.000,0.00,0.00
